x, y
5.109356,1.732308
1.720333,2.403383
5.475828,1.134163
2.683273,2.174518
6.157216,2.591903
4.560340,2.863577
5.294736,3.417434
2.427891,2.716515
4.387851,2.664677
1.894874,2.620177
2.040138,3.248086
2.981547,0.996921
4.687388,1.783278
2.451206,3.684160
2.648613,3.288060
4.153205,4.183661
4.441317,3.086174
1.926964,2.174618
2.178337,3.419027
3.736815,3.198068
4.422752,0.853092
4.491168,3.789448
2.105674,1.235659
4.061681,0.449067
2.423293,1.734232
3.184750,4.083700
4.210774,1.282093
2.327572,1.636191
2.366355,0.551155
3.574970,1.664259
3.182548,0.177152
4.197438,1.590600
3.022580,0.248370
2.748351,3.163041
5.173506,1.103903
2.642300,2.207095
2.941694,0.440379
5.413151,3.319175
3.321321,4.077905
4.137668,2.072138
4.553392,2.309973
4.773106,1.685582
4.219001,3.133584
1.609553,1.863175
5.635487,2.104723
4.312460,1.810242
4.669724,1.460010
6.147831,2.469477
4.206267,3.642447
4.097879,2.755715
2.457942,2.804865
4.780417,1.334100
2.212185,3.006360
2.424181,1.205458
4.797161,3.260380
2.728066,2.942369
3.881408,0.732791
2.520974,2.606128
3.543941,4.322181
4.489746,0.851415
4.302498,0.405921
4.325215,0.530240
2.409444,1.804230
5.031841,3.176018
5.432451,1.615978
3.402684,0.271079
4.938610,3.031271
4.416500,3.859173
1.975441,2.687058
1.985927,1.497006
2.598248,2.573612
5.309479,1.945115
3.790654,2.533899
5.516534,3.465308
3.871231,3.906904
2.346461,1.498113
3.741476,0.312162
3.340559,0.461543
3.636576,3.817280
3.319770,3.296295
5.219652,1.693116
5.400812,2.058341
3.702170,0.983600
4.270100,3.000074
2.004381,1.943726
2.023793,3.536033
3.605299,1.281863
4.562096,0.640496
3.750432,3.233562
5.883795,2.309101
2.756676,1.365576
4.846173,2.077441
3.695667,1.789160
2.592957,3.154883
4.399964,1.976060
3.257895,3.231244
2.793754,2.432261
3.420328,0.205967
3.342291,1.918848
3.929890,1.275384
3.298212,2.656606
5.630067,2.698651
3.017226,1.057760
2.675101,3.673824
2.265986,3.795516
5.581062,3.131618
5.224844,0.766067
2.565434,0.501505
3.869038,2.764252
2.552555,2.478490
3.054033,1.675161
2.793880,2.949101
5.014088,3.677129
3.713905,0.997402
3.550432,3.826135
4.917312,1.909902
2.683990,2.186224
4.042289,2.375039
3.870567,2.156819
1.981984,1.403429
3.324486,0.834752
2.976669,3.343600
4.518345,3.541326
3.801774,1.840174
3.458576,1.778387
5.065557,2.460323
3.942981,1.063698
2.668624,0.954902
2.490124,1.147155
4.428241,0.574019
2.817124,1.934076
2.390936,0.547216
3.300726,1.670222
3.703598,0.780080
2.853536,2.258940
5.605438,1.847587
3.103962,1.558764
1.910165,2.054194
5.414047,3.465084
4.463046,3.952719
4.200025,1.112407
2.563217,3.257923
3.365356,2.432934
2.760219,2.386091
2.942161,3.378386
3.842151,0.413958
4.022415,1.884642
3.718293,0.478639
6.009560,2.678819
2.036125,2.848804
3.415924,2.431446
2.981252,0.616088
3.774493,0.457759
2.609284,1.369881
4.947965,1.369957
5.010674,0.980053
2.748506,3.810751
3.983831,1.807466
5.172767,1.909548
3.704464,2.929046
2.007965,2.954406
3.568736,1.305227
3.238881,2.927292
4.209773,3.743115
2.154088,1.952483
4.159060,3.460763
3.213225,2.789816
3.475981,2.872257
4.745011,2.559532
4.098176,4.135507
3.126768,1.385819
3.988985,2.274752
4.953489,2.318296
3.523784,2.743498
4.889122,2.581785
4.210454,0.845761
5.730991,2.233566
2.436615,3.970642
6.042780,2.318198
3.945597,0.933125
3.280730,1.103207
2.935425,2.904222
3.323063,2.271590
3.708568,2.455937
4.845300,2.410607
3.623307,2.169678
2.137022,3.494127
5.432194,2.775203
2.305514,2.029665
4.435840,3.656023
3.288920,2.220696
3.935688,1.449701
3.849792,1.919669
5.654038,1.695961
2.221321,3.475183
3.988072,3.700190
3.216402,2.131876
1.783639,2.351751
3.420038,2.515773
3.073145,3.463480
4.051442,3.422371
3.237794,0.381367
5.423215,1.231951
2.900571,4.082610
3.295878,2.190306
4.183359,1.581239
4.078387,2.842733
3.549165,4.077723
2.714947,4.171768
5.141339,2.834259
5.016932,1.930224
4.115959,1.254264
5.114126,2.307018
2.850055,2.540622
4.715495,3.358028
2.939804,3.422601
1.872936,3.105799
2.912231,1.538912
3.569502,1.690302
4.295134,1.150206
2.911339,3.884973
2.560531,1.898332
5.466386,1.211294
3.316809,1.192951
4.959676,2.246376
5.157061,1.425997
3.199269,1.958420
2.887820,1.529474
3.054494,2.177850
5.274940,2.531415
4.628824,1.873001
3.519488,1.325809
3.105487,3.304022
3.431614,3.277247
3.398221,2.625197
3.952841,2.653840
2.540901,3.284694
5.023420,3.266296
3.265954,3.502126
3.653724,2.580676
4.291368,1.356235
3.206640,1.142181
3.550895,1.321570
4.168605,2.606516
2.897324,0.854342
2.735690,1.172226
3.531623,2.914309
5.079463,1.132498
2.019679,2.222772
4.163823,2.263328
3.581904,0.651890
4.495512,1.528638
3.802860,1.663499
4.382799,2.220843
5.605592,2.453365
2.827942,2.958055
5.089076,1.554850
5.278109,0.754295
4.517460,1.941572
5.221481,2.753634
4.350601,2.729758
3.803940,3.310815
3.421540,0.925534
3.627427,2.353112
4.025294,1.989145
2.043312,2.011719
2.549246,1.433601
2.437973,1.729171
4.800650,1.187456
4.650336,3.127713
2.961626,1.771161
2.530229,3.070017
4.618554,0.909718
4.926926,3.381502
3.155192,2.737199
5.694322,3.009863
4.682644,2.114692
4.089714,2.080460
4.478150,2.479208
5.399998,2.027933
3.351414,1.918255
3.243754,3.627457
4.653114,3.390618
2.841427,1.702220
2.079462,2.417072
2.746336,2.958432
4.699605,2.626655
5.436464,2.741210
3.632738,3.910293
4.266032,1.635423
4.016575,1.258070
2.985101,3.356178
2.628509,0.903235
4.870429,2.378973
5.895771,2.527246
3.154709,0.623613
3.935996,3.276229
4.840997,1.481937
4.624863,2.806197
4.142124,2.414471
