tile_index, x, y, z
0.000000,-0.546418,3.390843,4.430179
0.000000,-1.057701,2.893471,3.992028
0.000000,-0.250195,4.114853,4.095548
0.000000,-0.150453,4.681393,4.695677
0.000000,-0.763754,3.423127,3.918152
0.000000,-2.183239,1.341603,3.374830
0.000000,-2.118507,1.243929,3.309282
0.000000,-2.018757,1.512324,3.431469
0.000000,-0.682655,3.563361,4.018816
0.000000,-0.343924,4.305820,4.641224
0.000000,5.382924,7.790635,6.353377
0.000000,9.057818,5.972851,6.123208
0.000000,3.545229,7.929144,5.720350
0.000000,-0.163633,4.623144,4.751559
0.000000,-2.323959,0.934347,3.189464
0.000000,-1.978746,1.204878,3.610644
0.000000,3.767648,9.132651,5.935990
0.000000,12.247669,3.418344,5.447333
0.000000,8.545934,6.634900,6.239930
0.000000,-1.497823,2.700703,3.594527
0.000000,1.016582,6.193292,5.258293
0.000000,1.139710,4.732601,5.032996
0.000000,-2.589290,-0.071155,2.800043
0.000000,-2.087554,1.410856,3.121172
0.000000,-2.642247,-0.118938,2.845278
0.000000,-2.610440,-0.122348,2.825289
0.000000,-1.814191,2.043773,3.354044
0.000000,0.805250,5.422177,4.553075
0.000000,0.353469,5.001755,4.476103
0.000000,3.817301,7.784194,5.816590
0.000000,2.459946,7.942827,5.508663
0.000000,-1.135693,3.060894,3.740880
0.000000,-1.311540,1.879251,4.087287
0.000000,-1.846769,1.959550,3.292715
0.000000,0.413234,5.799433,5.000829
0.000000,-1.937883,1.916409,3.382185
0.000000,-2.039602,1.661723,3.373482
0.000000,0.518852,5.943227,5.037762
0.000000,0.356497,4.999640,4.478882
0.000000,7.548298,6.248474,6.204179
0.000000,1.479570,5.769714,4.838346
0.000000,3.014228,7.853920,5.568502
0.000000,-0.137475,3.952725,4.626539
0.000000,-1.138450,3.009696,3.855162
0.000000,3.748315,8.644509,5.913627
0.000000,-0.154924,4.618981,4.669568
0.000000,-0.791126,3.432591,3.859859
0.000000,-0.180244,4.092569,4.068874
0.000000,0.858361,5.406035,4.536561
0.000000,3.420403,8.939905,5.818541
0.000000,3.276522,8.842741,5.770369
0.000000,2.290065,7.873771,5.451621
0.000000,1.308289,5.953184,5.085863
0.000000,2.170179,7.162361,5.468474
0.000000,1.517540,6.889150,5.305678
